Workload,Algorithm,r,Mean (Std),IQR
AUFNIRA_z3.637557.smt2,DLiSA-B,2.0,5.856 (0.013),0.01
AUFNIRA_z3.637557.smt2,DLiSA-B6,3.0,5.856 (0.011),0.01
AUFNIRA_z3.637557.smt2,DLiSA-B7,3.0,5.871 (0.125),0.02
AUFNIRA_z3.637557.smt2,DLiSA-B8,3.0,5.858 (0.011),0.01
AUFNIRA_z3.637557.smt2,DLiSA-B9,3.0,5.858 (0.01),0.02
LRA_formula_277.smt2,DLiSA-B0,3.0,2.055 (0.418),0.89
LRA_formula_277.smt2,DLiSA-B1,2.0,2.037 (0.411),0.89
LRA_formula_277.smt2,DLiSA-B2,4.0,2.055 (0.529),0.89
LRA_formula_277.smt2,DLiSA-B3,4.0,2.088 (0.467),0.89
LRA_formula_277.smt2,DLiSA-B4,1.0,2.004 (0.476),0.022
LRA_formula_277.smt2,DLiSA-B,2.0,2.039 (0.49),0.89
LRA_formula_277.smt2,DLiSA-B6,1.0,1.948 (0.362),0.012
LRA_formula_277.smt2,DLiSA-B7,1.0,1.859 (0.278),0.0
LRA_formula_277.smt2,DLiSA-B8,1.0,1.788 (0.152),0.0
LRA_formula_277.smt2,DLiSA-B9,1.0,1.769 (0.089),0.0
QF_AUFBV_891_sqlite3.smt2,DLiSA-B0,2.0,0.342 (0.69),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B1,2.0,0.304 (0.585),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B2,2.0,0.311 (0.599),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B3,1.0,0.271 (0.499),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B4,2.0,0.343 (0.803),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B,1.0,0.238 (0.466),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B6,2.0,0.406 (0.731),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B7,2.0,0.298 (0.55),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B8,2.0,0.421 (0.716),0.04
QF_AUFBV_891_sqlite3.smt2,DLiSA-B9,2.0,0.289 (0.525),0.04
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B0,1.0,2.296 (0.093),0.002
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B1,1.0,2.309 (0.121),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B2,1.0,2.308 (0.12),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B3,1.0,2.307 (0.121),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B4,1.0,2.302 (0.108),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B,1.0,2.296 (0.095),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B6,1.0,2.313 (0.133),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B7,1.0,2.295 (0.094),0.0
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B8,1.0,2.318 (0.191),0.01
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B9,1.0,2.326 (0.205),0.01
QF_BV_bench_3176.smt2,DLiSA-B0,1.0,3.15 (0.117),0.01
QF_BV_bench_3176.smt2,DLiSA-B1,2.0,3.168 (0.123),0.02
QF_BV_bench_3176.smt2,DLiSA-B2,2.0,3.158 (0.116),0.01
QF_BV_bench_3176.smt2,DLiSA-B3,2.0,3.158 (0.082),0.02
QF_BV_bench_3176.smt2,DLiSA-B4,1.0,3.148 (0.069),0.01
QF_BV_bench_3176.smt2,DLiSA-B,2.0,3.162 (0.132),0.01
QF_BV_bench_3176.smt2,DLiSA-B6,2.0,3.19 (0.323),0.01
QF_BV_bench_3176.smt2,DLiSA-B7,1.0,3.151 (0.071),0.01
QF_BV_bench_3176.smt2,DLiSA-B8,2.0,3.227 (0.541),0.01
QF_BV_bench_3176.smt2,DLiSA-B9,2.0,3.198 (0.194),0.042
QF_BV_bench_935.smt2,DLiSA-B0,1.0,1.305 (0.101),0.0
QF_BV_bench_935.smt2,DLiSA-B1,1.0,1.304 (0.079),0.0
QF_BV_bench_935.smt2,DLiSA-B2,2.0,1.325 (0.154),0.0
QF_BV_bench_935.smt2,DLiSA-B3,1.0,1.311 (0.109),0.0
QF_BV_bench_935.smt2,DLiSA-B4,2.0,1.33 (0.285),0.0
QF_BV_bench_935.smt2,DLiSA-B,1.0,1.311 (0.125),0.0
QF_BV_bench_935.smt2,DLiSA-B6,1.0,1.3 (0.084),0.0
QF_BV_bench_935.smt2,DLiSA-B7,2.0,1.32 (0.149),0.0
QF_BV_bench_935.smt2,DLiSA-B8,2.0,1.32 (0.126),0.0
QF_BV_bench_935.smt2,DLiSA-B9,2.0,1.335 (0.161),0.0
QF_LIA_tightrhombus,DLiSA-B0,1.0,0.231 (0.089),0.0
QF_LIA_tightrhombus,DLiSA-B1,2.0,0.257 (0.174),0.0
QF_LIA_tightrhombus,DLiSA-B2,1.0,0.256 (0.175),0.0
QF_LIA_tightrhombus,DLiSA-B3,2.0,0.266 (0.194),0.0
QF_LIA_tightrhombus,DLiSA-B4,1.0,0.248 (0.152),0.0
QF_LIA_tightrhombus,DLiSA-B,1.0,0.247 (0.152),0.0
QF_LIA_tightrhombus,DLiSA-B6,1.0,0.24 (0.125),0.0
QF_LIA_tightrhombus,DLiSA-B7,1.0,0.249 (0.152),0.0
QF_LIA_tightrhombus,DLiSA-B8,2.0,0.258 (0.174),0.0
QF_LIA_tightrhombus,DLiSA-B9,1.0,0.231 (0.089),0.0
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B0,1.0,8.746 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B1,2.0,8.747 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B2,3.0,8.748 (0.016),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B3,1.0,8.746 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B4,2.0,8.747 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B,3.0,8.748 (0.014),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B6,1.0,8.746 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B7,2.0,8.747 (0.005),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B8,3.0,8.747 (0.004),0.01
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B9,3.0,8.749 (0.015),0.01
QF_NRA_hong_9.smt2,DLiSA-B0,1.0,3.181 (0.003),0.0
QF_NRA_hong_9.smt2,DLiSA-B1,1.0,3.181 (0.002),0.0
QF_NRA_hong_9.smt2,DLiSA-B2,1.0,3.181 (0.002),0.0
QF_NRA_hong_9.smt2,DLiSA-B3,1.0,3.181 (0.003),0.0
QF_NRA_hong_9.smt2,DLiSA-B4,1.0,3.181 (0.003),0.0
QF_NRA_hong_9.smt2,DLiSA-B,2.0,3.182 (0.004),0.0
QF_NRA_hong_9.smt2,DLiSA-B6,2.0,3.182 (0.004),0.0
QF_NRA_hong_9.smt2,DLiSA-B7,1.0,3.181 (0.003),0.0
QF_NRA_hong_9.smt2,DLiSA-B8,2.0,3.182 (0.004),0.0
QF_NRA_hong_9.smt2,DLiSA-B9,2.0,3.182 (0.004),0.0
QF_RDL_orb08_888.smt2,DLiSA-B0,3.0,6.84 (0.238),0.49
QF_RDL_orb08_888.smt2,DLiSA-B1,3.0,6.818 (0.232),0.498
QF_RDL_orb08_888.smt2,DLiSA-B2,2.0,6.756 (0.196),0.113
QF_RDL_orb08_888.smt2,DLiSA-B3,2.0,6.779 (0.213),0.113
QF_RDL_orb08_888.smt2,DLiSA-B4,2.0,6.797 (0.225),0.103
QF_RDL_orb08_888.smt2,DLiSA-B,2.0,6.777 (0.217),0.112
QF_RDL_orb08_888.smt2,DLiSA-B6,3.0,6.81 (0.233),0.205
QF_RDL_orb08_888.smt2,DLiSA-B7,3.0,6.81 (0.24),0.54
QF_RDL_orb08_888.smt2,DLiSA-B8,1.0,6.75 (0.188),0.103
QF_RDL_orb08_888.smt2,DLiSA-B9,2.0,6.792 (0.234),0.12
QF_UFLIA_xs_23_43.smt2,DLiSA-B0,2.0,7.93 (0.508),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B1,2.0,7.891 (0.418),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B2,2.0,7.89 (0.421),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B3,1.0,7.866 (0.371),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B4,2.0,7.888 (0.413),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B,1.0,7.874 (0.373),0.06
QF_UFLIA_xs_23_43.smt2,DLiSA-B6,2.0,7.883 (0.428),0.1
QF_UFLIA_xs_23_43.smt2,DLiSA-B7,2.0,7.946 (0.544),0.07
QF_UFLIA_xs_23_43.smt2,DLiSA-B8,2.0,8.013 (0.633),0.102
QF_UFLIA_xs_23_43.smt2,DLiSA-B9,2.0,8.041 (0.668),0.08
QF_UF_PEQ018_size6.smt2,DLiSA-B0,1.0,3.895 (0.143),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B1,1.0,3.883 (0.046),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B2,1.0,3.888 (0.062),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B3,1.0,3.891 (0.076),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B4,1.0,3.89 (0.061),0.002
QF_UF_PEQ018_size6.smt2,DLiSA-B,1.0,3.894 (0.075),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B6,1.0,3.902 (0.154),0.01
QF_UF_PEQ018_size6.smt2,DLiSA-B7,1.0,3.903 (0.155),0.02
QF_UF_PEQ018_size6.smt2,DLiSA-B8,1.0,3.891 (0.063),0.012
QF_UF_PEQ018_size6.smt2,DLiSA-B9,1.0,3.891 (0.062),0.01
